Person 1: (41, 11), status: INFECTED, was infected 0 time(s).
Person 2: (22, 12), status: INFECTED, was infected 1 time(s).
Person 3: (36, 16), status: INFECTED, was infected 1 time(s).
Person 4: (46, 15), status: INFECTED, was infected 1 time(s).
Person 5: (34, 9), status: INFECTED, was infected 1 time(s).
Person 6: (21, 25), status: INFECTED, was infected 1 time(s).
Person 7: (5, 1), status: INFECTED, was infected 0 time(s).
Person 8: (24, 27), status: INFECTED, was infected 0 time(s).
Person 9: (44, 49), status: INFECTED, was infected 1 time(s).
Person 10: (21, 2), status: INFECTED, was infected 1 time(s).
Person 11: (33, 39), status: INFECTED, was infected 0 time(s).
Person 12: (10, 36), status: SUSCEPTIBLE, was infected 0 time(s).
Person 13: (24, 45), status: SUSCEPTIBLE, was infected 0 time(s).
Person 14: (20, 49), status: INFECTED, was infected 1 time(s).
Person 15: (22, 43), status: SUSCEPTIBLE, was infected 0 time(s).
Person 16: (26, 0), status: INFECTED, was infected 1 time(s).
Person 17: (49, 23), status: INFECTED, was infected 1 time(s).
Person 18: (26, 28), status: SUSCEPTIBLE, was infected 0 time(s).
Person 19: (37, 14), status: INFECTED, was infected 1 time(s).
Person 20: (49, 42), status: INFECTED, was infected 1 time(s).
Person 21: (50, 28), status: SUSCEPTIBLE, was infected 0 time(s).
Person 22: (21, 16), status: SUSCEPTIBLE, was infected 0 time(s).
Person 23: (5, 31), status: SUSCEPTIBLE, was infected 0 time(s).
Person 24: (40, 0), status: INFECTED, was infected 1 time(s).
Person 25: (40, 8), status: SUSCEPTIBLE, was infected 0 time(s).
Person 26: (43, 30), status: INFECTED, was infected 1 time(s).
Person 27: (0, 33), status: INFECTED, was infected 0 time(s).
Person 28: (34, 17), status: INFECTED, was infected 1 time(s).
Person 29: (1, 45), status: SUSCEPTIBLE, was infected 0 time(s).
Person 30: (49, 38), status: INFECTED, was infected 1 time(s).
Person 31: (25, 10), status: INFECTED, was infected 1 time(s).
Person 32: (47, 24), status: SUSCEPTIBLE, was infected 0 time(s).
Person 33: (0, 28), status: INFECTED, was infected 1 time(s).
Person 34: (33, 49), status: INFECTED, was infected 1 time(s).
Person 35: (30, 4), status: SUSCEPTIBLE, was infected 0 time(s).
Person 36: (41, 32), status: SUSCEPTIBLE, was infected 0 time(s).
Person 37: (44, 49), status: INFECTED, was infected 1 time(s).
Person 38: (47, 39), status: INFECTED, was infected 0 time(s).
Person 39: (22, 31), status: SUSCEPTIBLE, was infected 0 time(s).
Person 40: (18, 49), status: INFECTED, was infected 1 time(s).
Person 41: (25, 49), status: INFECTED, was infected 1 time(s).
Person 42: (49, 39), status: INFECTED, was infected 0 time(s).
Person 43: (10, 7), status: SUSCEPTIBLE, was infected 0 time(s).
Person 44: (25, 36), status: INFECTED, was infected 1 time(s).
Person 45: (37, 32), status: SUSCEPTIBLE, was infected 0 time(s).
Person 46: (46, 1), status: INFECTED, was infected 0 time(s).
Person 47: (15, 21), status: INFECTED, was infected 0 time(s).
Person 48: (19, 20), status: INFECTED, was infected 1 time(s).
Person 49: (28, 4), status: INFECTED, was infected 1 time(s).
Person 50: (12, 35), status: INFECTED, was infected 0 time(s).
