Person 1: (49, 11), status: SUSCEPTIBLE, was infected 62 time(s).
Person 2: (22, 0), status: INFECTED, was infected 64 time(s).
Person 3: (17, 16), status: SUSCEPTIBLE, was infected 65 time(s).
Person 4: (40, 15), status: SUSCEPTIBLE, was infected 64 time(s).
Person 5: (35, 9), status: INFECTED, was infected 65 time(s).
Person 6: (21, 22), status: INFECTED, was infected 65 time(s).
Person 7: (5, 28), status: INFECTED, was infected 64 time(s).
Person 8: (30, 27), status: IMMUNE, was infected 63 time(s).
Person 9: (44, 28), status: IMMUNE, was infected 63 time(s).
Person 10: (40, 2), status: INFECTED, was infected 61 time(s).
Person 11: (34, 39), status: SUSCEPTIBLE, was infected 62 time(s).
Person 12: (10, 45), status: SUSCEPTIBLE, was infected 63 time(s).
Person 13: (15, 45), status: SUSCEPTIBLE, was infected 63 time(s).
Person 14: (20, 44), status: IMMUNE, was infected 64 time(s).
Person 15: (34, 43), status: INFECTED, was infected 64 time(s).
Person 16: (26, 1), status: SUSCEPTIBLE, was infected 64 time(s).
Person 17: (28, 23), status: IMMUNE, was infected 66 time(s).
Person 18: (26, 48), status: INFECTED, was infected 64 time(s).
Person 19: (49, 14), status: IMMUNE, was infected 64 time(s).
Person 20: (25, 42), status: SUSCEPTIBLE, was infected 68 time(s).
Person 21: (33, 28), status: IMMUNE, was infected 65 time(s).
Person 22: (43, 16), status: IMMUNE, was infected 66 time(s).
Person 23: (34, 31), status: SUSCEPTIBLE, was infected 65 time(s).
Person 24: (40, 24), status: INFECTED, was infected 69 time(s).
Person 25: (40, 16), status: IMMUNE, was infected 65 time(s).
Person 26: (43, 0), status: SUSCEPTIBLE, was infected 68 time(s).
Person 27: (0, 33), status: IMMUNE, was infected 66 time(s).
Person 28: (12, 17), status: INFECTED, was infected 64 time(s).
Person 29: (1, 23), status: IMMUNE, was infected 67 time(s).
Person 30: (32, 38), status: SUSCEPTIBLE, was infected 63 time(s).
Person 31: (25, 49), status: SUSCEPTIBLE, was infected 69 time(s).
Person 32: (47, 0), status: INFECTED, was infected 62 time(s).
Person 33: (24, 28), status: IMMUNE, was infected 68 time(s).
Person 34: (33, 31), status: INFECTED, was infected 66 time(s).
Person 35: (30, 30), status: SUSCEPTIBLE, was infected 64 time(s).
Person 36: (41, 49), status: SUSCEPTIBLE, was infected 64 time(s).
Person 37: (44, 32), status: SUSCEPTIBLE, was infected 63 time(s).
Person 38: (19, 39), status: SUSCEPTIBLE, was infected 62 time(s).
Person 39: (48, 31), status: SUSCEPTIBLE, was infected 69 time(s).
Person 40: (18, 28), status: IMMUNE, was infected 66 time(s).
Person 41: (25, 27), status: IMMUNE, was infected 68 time(s).
Person 42: (9, 39), status: INFECTED, was infected 63 time(s).
Person 43: (10, 37), status: IMMUNE, was infected 62 time(s).
Person 44: (25, 14), status: INFECTED, was infected 69 time(s).
Person 45: (37, 36), status: SUSCEPTIBLE, was infected 62 time(s).
Person 46: (17, 1), status: IMMUNE, was infected 65 time(s).
Person 47: (0, 21), status: INFECTED, was infected 65 time(s).
Person 48: (19, 49), status: IMMUNE, was infected 65 time(s).
Person 49: (28, 41), status: INFECTED, was infected 66 time(s).
Person 50: (31, 35), status: SUSCEPTIBLE, was infected 62 time(s).
Person 51: (49, 10), status: INFECTED, was infected 65 time(s).
Person 52: (4, 26), status: IMMUNE, was infected 63 time(s).
Person 53: (18, 40), status: IMMUNE, was infected 68 time(s).
Person 54: (49, 18), status: INFECTED, was infected 65 time(s).
Person 55: (25, 14), status: IMMUNE, was infected 63 time(s).
Person 56: (26, 35), status: SUSCEPTIBLE, was infected 64 time(s).
Person 57: (47, 22), status: IMMUNE, was infected 64 time(s).
Person 58: (33, 20), status: SUSCEPTIBLE, was infected 62 time(s).
Person 59: (31, 6), status: SUSCEPTIBLE, was infected 65 time(s).
Person 60: (37, 45), status: INFECTED, was infected 65 time(s).
Person 61: (36, 17), status: IMMUNE, was infected 64 time(s).
Person 62: (17, 34), status: INFECTED, was infected 64 time(s).
Person 63: (25, 15), status: SUSCEPTIBLE, was infected 65 time(s).
Person 64: (6, 4), status: INFECTED, was infected 62 time(s).
Person 65: (39, 32), status: INFECTED, was infected 65 time(s).
Person 66: (49, 41), status: SUSCEPTIBLE, was infected 64 time(s).
Person 67: (47, 42), status: SUSCEPTIBLE, was infected 61 time(s).
Person 68: (45, 26), status: IMMUNE, was infected 63 time(s).
Person 69: (24, 27), status: INFECTED, was infected 66 time(s).
Person 70: (12, 40), status: INFECTED, was infected 64 time(s).
