Person 1: (29, 1), status: SUSCEPTIBLE, was infected 1 time(s).
Person 2: (22, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 3: (4, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 4: (20, 29), status: SUSCEPTIBLE, was infected 1 time(s).
Person 5: (21, 29), status: SUSCEPTIBLE, was infected 1 time(s).
Person 6: (0, 9), status: SUSCEPTIBLE, was infected 1 time(s).
Person 7: (29, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 8: (25, 7), status: SUSCEPTIBLE, was infected 1 time(s).
Person 9: (28, 2), status: SUSCEPTIBLE, was infected 1 time(s).
Person 10: (2, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 11: (15, 18), status: SUSCEPTIBLE, was infected 1 time(s).
Person 12: (14, 26), status: SUSCEPTIBLE, was infected 1 time(s).
Person 13: (15, 8), status: SUSCEPTIBLE, was infected 1 time(s).
Person 14: (0, 28), status: SUSCEPTIBLE, was infected 1 time(s).
Person 15: (0, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 16: (5, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 17: (12, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 18: (9, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 19: (24, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 20: (13, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 21: (29, 3), status: SUSCEPTIBLE, was infected 1 time(s).
Person 22: (27, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 23: (17, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 24: (7, 29), status: SUSCEPTIBLE, was infected 1 time(s).
Person 25: (26, 4), status: SUSCEPTIBLE, was infected 1 time(s).
Person 26: (30, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 27: (1, 10), status: SUSCEPTIBLE, was infected 1 time(s).
Person 28: (25, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 29: (12, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 30: (14, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 31: (5, 21), status: SUSCEPTIBLE, was infected 1 time(s).
Person 32: (10, 13), status: SUSCEPTIBLE, was infected 1 time(s).
Person 33: (10, 20), status: SUSCEPTIBLE, was infected 1 time(s).
Person 34: (8, 5), status: SUSCEPTIBLE, was infected 1 time(s).
Person 35: (11, 15), status: SUSCEPTIBLE, was infected 1 time(s).
Person 36: (22, 23), status: SUSCEPTIBLE, was infected 1 time(s).
Person 37: (5, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 38: (16, 11), status: SUSCEPTIBLE, was infected 1 time(s).
Person 39: (25, 10), status: SUSCEPTIBLE, was infected 1 time(s).
Person 40: (26, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 41: (2, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 42: (18, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 43: (3, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 44: (3, 25), status: SUSCEPTIBLE, was infected 1 time(s).
Person 45: (4, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 46: (24, 10), status: SUSCEPTIBLE, was infected 1 time(s).
Person 47: (19, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 48: (29, 28), status: SUSCEPTIBLE, was infected 1 time(s).
Person 49: (1, 10), status: SUSCEPTIBLE, was infected 1 time(s).
Person 50: (12, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 51: (21, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 52: (5, 12), status: SUSCEPTIBLE, was infected 1 time(s).
Person 53: (4, 18), status: SUSCEPTIBLE, was infected 1 time(s).
Person 54: (18, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 55: (0, 1), status: SUSCEPTIBLE, was infected 1 time(s).
Person 56: (5, 26), status: SUSCEPTIBLE, was infected 1 time(s).
Person 57: (2, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 58: (0, 23), status: SUSCEPTIBLE, was infected 1 time(s).
Person 59: (17, 6), status: SUSCEPTIBLE, was infected 1 time(s).
Person 60: (24, 15), status: SUSCEPTIBLE, was infected 1 time(s).
Person 61: (16, 21), status: SUSCEPTIBLE, was infected 1 time(s).
Person 62: (7, 5), status: SUSCEPTIBLE, was infected 0 time(s).
Person 63: (4, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 64: (4, 25), status: SUSCEPTIBLE, was infected 1 time(s).
Person 65: (25, 8), status: SUSCEPTIBLE, was infected 1 time(s).
Person 66: (12, 4), status: SUSCEPTIBLE, was infected 1 time(s).
Person 67: (18, 1), status: SUSCEPTIBLE, was infected 1 time(s).
Person 68: (24, 24), status: SUSCEPTIBLE, was infected 1 time(s).
Person 69: (2, 27), status: SUSCEPTIBLE, was infected 1 time(s).
Person 70: (1, 16), status: SUSCEPTIBLE, was infected 1 time(s).
Person 71: (8, 28), status: SUSCEPTIBLE, was infected 1 time(s).
Person 72: (6, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 73: (16, 0), status: SUSCEPTIBLE, was infected 1 time(s).
Person 74: (8, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 75: (10, 29), status: SUSCEPTIBLE, was infected 1 time(s).
Person 76: (20, 20), status: SUSCEPTIBLE, was infected 1 time(s).
Person 77: (5, 15), status: SUSCEPTIBLE, was infected 1 time(s).
Person 78: (1, 14), status: SUSCEPTIBLE, was infected 1 time(s).
Person 79: (28, 23), status: SUSCEPTIBLE, was infected 1 time(s).
Person 80: (3, 17), status: SUSCEPTIBLE, was infected 1 time(s).
Person 81: (11, 4), status: SUSCEPTIBLE, was infected 1 time(s).
Person 82: (21, 9), status: SUSCEPTIBLE, was infected 1 time(s).
Person 83: (0, 22), status: SUSCEPTIBLE, was infected 1 time(s).
Person 84: (3, 25), status: SUSCEPTIBLE, was infected 1 time(s).
